Date,Actual Price,Predictions,Volume,SMA20,SMA50,Volatility,Signal,Position,Volume Adjusted Return,Volume Multiplier,Position Size,Adjusted Return,Cumulative Market Returns,Cumulative Strategy Returns,Signal Result
2022-12-01,16967.1328125,16967.508361145858,0.288146723135264,16556.722802734374,18399.297578125,0.01918715066316325,0,0.0,-0.0,2.0,0.5,-0.0,0.8898394069876058,0.9904257720601003,-0.0
2022-12-02,17088.66015625,17084.176693440157,0.1136767200523944,16571.196533203125,18353.4126953125,0.01896618201943502,0,0.0,0.0,2.0,0.5,0.0,0.8962128951125771,0.9904257720601003,0.0
2022-12-03,16908.236328125,16908.652555864322,-0.0590380569224026,16598.940087890624,18307.864296875,0.018058798850653757,0,0.0,-0.0,2.0,0.5,-0.0,0.886750587367399,0.9904257720601003,-0.0
2022-12-04,17130.486328125,17126.137858920243,-0.0274920200850947,16624.554443359375,18269.121328125,0.01794356692283031,0,0.0,0.0,2.0,0.5,0.0,0.8984064640784776,0.9904257720601003,0.0
2022-12-05,16974.826171875,16974.734445456925,0.2524640771167425,16629.065087890624,18223.2559765625,0.0177636983635019,0,0.0,-0.0,2.0,0.5,-0.0,0.8902428843705936,0.9904257720601003,-0.0
2022-12-06,17089.50390625,17087.56909101536,0.1318853281686803,16650.068310546874,18174.0308984375,0.017537116826619976,0,0.0,0.0,2.0,0.5,0.0,0.8962571454881677,0.9904257720601003,0.0
2022-12-07,16848.126953125,16849.47552516101,0.1207320399713012,16658.098779296874,18124.3051171875,0.01787750947606619,0,0.0,-0.0,2.0,0.5,-0.0,0.8835981578322811,0.9904257720601003,-0.0
2022-12-08,17233.474609375,17227.225195265135,0.1634281037875011,16684.883642578126,18086.18390625,0.018556370967882384,0,0.0,0.0,2.0,0.5,0.0,0.9038076731175593,0.9904257720601003,0.0
2022-12-09,17133.15234375,17132.45360804814,0.154684169805375,16705.963916015626,18047.7721484375,0.018633024919087388,0,0.0,-0.0,2.0,0.5,-0.0,0.8985462829735724,0.9904257720601003,-0.0
2022-12-10,17128.724609375,17129.32572826746,-0.241582830740129,16747.808544921874,18006.897265625,0.017569238176650445,0,0.0,-0.0,2.0,0.5,-0.0,0.8983140709331476,0.9904257720601003,-0.0
2022-12-11,17104.193359375,17104.001197520443,-0.1679770456237949,16813.65400390625,17964.81734375,0.015740449035028838,0,0.0,-0.0,2.0,1.0,-0.0,0.897027532235426,0.9904257720601003,-0.0
2022-12-12,17206.4375,17206.605330006772,0.117725685358066,16864.48740234375,17917.6059375,0.014930388758966531,0,0.0,0.0,2.0,1.0,0.0,0.902389714901591,0.9904257720601003,0.0
2022-12-13,17781.318359375,17772.577552438466,0.4825641527050646,16923.01796875,17886.320859375,0.015603960927472906,0,0.0,0.0,2.2,1.0,0.0,0.932539278098144,0.9904257720601003,0.0
2022-12-14,17815.650390625,17814.43860126005,0.4253590705589075,16983.57724609375,17840.71671875,0.015582122992827477,0,0.0,0.0,2.2,1.0,0.0,0.9343398176864045,0.9904257720601003,0.0
2022-12-15,17364.865234375,17370.53677132658,0.1877524300371804,17025.72841796875,17772.6051953125,0.01678978923771328,0,0.0,-0.0,2.0,1.0,-0.0,0.9106984399386687,0.9904257720601003,-0.0
2022-12-16,16647.484375,16655.54280123859,0.3472212369472519,17034.88857421875,17699.8381640625,0.019436213505384943,0,0.0,-0.0,2.2,0.5,-0.0,0.8730754799757324,0.9904257720601003,-0.0
2022-12-17,16795.091796875,16791.00240423279,-0.1502427244279119,17052.41181640625,17623.83296875,0.019513770486042165,0,0.0,0.0,2.0,0.5,0.0,0.8808167349184328,0.9904257720601003,0.0
2022-12-18,16757.9765625,16753.456439393314,-0.3342553659016613,17079.44453125,17542.62296875,0.01921258775202094,0,0.0,-0.0,2.0,0.5,-0.0,0.8788702305495789,0.9904257720601003,-0.0
2022-12-19,16439.6796875,16439.23339800455,-0.0068742570921239,17079.17939453125,17458.7044921875,0.019523884676566097,0,0.0,-0.0,2.0,0.5,-0.0,0.86217718608379,0.9904257720601003,-0.0
2022-12-20,16906.3046875,16897.228098992277,0.279136647572456,17066.06630859375,17386.9151171875,0.01792532949274646,0,0.0,0.0,2.0,0.5,0.0,0.8866492826880962,0.9904257720601003,0.0
2022-12-21,16817.53515625,16818.3887977539,-0.1284390562596731,17058.58642578125,17313.5603515625,0.017771702479254217,0,0.0,-0.0,2.0,0.5,-0.0,0.8819937744228533,0.9904257720601003,-0.0
2022-12-22,16830.341796875,16826.693536527742,-0.0474023649190639,17045.6705078125,17246.977109375,0.01768782294978731,0,0.0,0.0,2.0,0.5,0.0,0.882665417276433,0.9904257720601003,0.0
2022-12-23,16796.953125,16795.014792417267,-0.1052338337323743,17040.10634765625,17178.71640625,0.01753734270918427,0,0.0,-0.0,2.0,0.5,-0.0,0.8809143520664368,0.9904257720601003,-0.0
2022-12-24,16847.755859375,16848.08842003226,-0.3955916709283095,17025.96982421875,17092.7269140625,0.017276608026991408,0,0.0,0.0,2.0,0.5,0.0,0.8835786958615355,0.9904257720601003,0.0
2022-12-25,16841.986328125,16841.357052804262,-0.2961956728657881,17019.32783203125,17003.9128125,0.017163192629972377,0,0.0,-0.0,2.0,1.0,-0.0,0.883276113432151,0.9904257720601003,-0.0
2022-12-26,16919.8046875,16917.434762201556,-0.2842073938812729,17010.84287109375,16923.7791796875,0.017123900451391144,0,0.0,0.0,2.0,1.0,0.0,0.8873572886975432,0.9904257720601003,0.0
2022-12-27,16717.173828125,16715.618945754475,-0.0834326712821708,17004.29521484375,16846.066328125,0.01703953927598868,0,0.0,-0.0,2.0,1.0,-0.0,0.876730335650367,0.9904257720601003,-0.0
2022-12-28,16552.572265625,16550.12949031799,-0.0180713703468133,16970.25009765625,16806.29234375,0.016255205215131317,0,0.0,-0.0,2.0,1.0,-0.0,0.8680978248789344,0.9904257720601003,-0.0
