Date,Actual Price,Predictions,Volume,RSI,Signal,Short_MA,Long_MA,Filtered Signal,Position,Strategy Return,Market Return,Cumulative Market Returns,Cumulative Strategy Returns,Signal Result
2023-09-28,27021.546875,27011.507683614815,-0.1702378863147983,58.83911611346731,0,26621.6537109375,26284.439778645832,0,0.0,0.0,0.02537992888096885,0.919171677751845,1.0,0.0
2023-09-29,26911.720703125,26914.37047122591,-0.3617031179832242,55.47651891772831,0,26591.7140625,26271.58828125,0,0.0,0.0,-0.004064392478456136,0.9154358032983806,1.0,-0.0
2023-09-30,26967.916015625,26969.039250599682,-0.6250578880846708,57.181505043932155,0,26575.3048828125,26306.136393229168,0,0.0,0.0,0.0020881352448591795,0.9173473570636539,1.0,0.0
2023-10-01,27983.75,27970.184665922432,-0.4081071995413805,69.25495295329992,0,26716.9166015625,26378.90390625,0,0.0,0.0,0.037668241913332734,0.951902219228084,1.0,0.0
2023-10-02,27530.78515625,27535.11681637469,0.1268482574389688,59.713584016137105,0,26812.03828125,26434.303450520834,0,0.0,0.0,-0.016186709920936293,0.9364940541323435,1.0,-0.0
2023-10-03,27429.978515625,27427.09341892699,-0.3091191837850172,53.005535418578816,0,26897.0970703125,26482.983854166665,0,0.0,0.0,-0.003661597010505724,0.9330649903033762,1.0,-0.0
2023-10-04,27799.39453125,27791.588794026706,-0.3228690150435582,58.48816631839803,0,27051.35390625,26549.216471354168,0,0.0,0.0,0.013467601347721292,0.9456311376242975,1.0,0.0
2023-10-05,27415.912109375,27419.92714245495,-0.284711934354794,61.30923025085447,0,27163.0970703125,26603.7474609375,0,0.0,0.0,-0.01379463216164356,0.9325865039201738,1.0,-0.0
2023-10-06,27946.59765625,27934.186734736537,-0.2007371607686593,66.0106130624207,0,27336.0318359375,26676.859505208333,0,0.0,0.0,0.01935684447622399,0.9506384358371821,1.0,0.0
2023-10-07,27968.83984375,27966.5861377992,-0.5615299490887732,66.1895212494322,0,27497.644140625,26734.480989583335,0,0.0,0.0,0.0007958817661306572,0.9513950316344479,1.0,0.0
2023-10-08,27935.08984375,27936.48321176174,-0.4906212079868189,70.96579627087561,0,27588.9984375,26802.128841145834,0,0.0,0.0,-0.001206700034343422,0.9502469832171004,1.0,-0.0
2023-10-09,27583.677734375,27588.11425702898,-0.2779313607980889,64.90207295260431,0,27656.194140625,26858.3955078125,0,0.0,0.0,-0.012579594744121514,0.9382932612614053,1.0,-0.0
2023-10-10,27391.01953125,27395.974886678705,-0.3837002744912632,63.26721910504277,0,27698.5044921875,26910.3552734375,0,0.0,0.0,-0.006984500217130485,0.9317397517743929,1.0,-0.0
2023-10-11,26873.3203125,26881.48517727424,-0.1926418138638364,55.41640537907664,0,27587.4615234375,26967.377473958335,0,0.0,0.0,-0.018900326735168282,0.9141295660337123,1.0,-0.0
2023-10-12,26756.798828125,26759.13387274001,-0.4138787706074595,46.88787573084445,0,27510.062890625,26998.159309895833,0,0.0,0.0,-0.0043359541366684295,0.9101659421604176,1.0,-0.0
2023-10-13,26862.375,26861.462512927224,-0.1137580979643376,49.419359049610385,0,27453.3025390625,27019.2943359375,0,0.0,0.0,0.003945769916393171,0.9137572475539198,1.0,0.0
2023-10-14,26861.70703125,26863.71879522155,-0.6220972382072149,48.733712962518794,0,27359.5337890625,27030.028776041665,0,0.0,0.0,-2.4866332556272575e-05,0.9137345257623265,1.0,-0.0
2023-10-15,27159.65234375,27153.953728578737,-0.5331859355025835,38.14530485091233,0,27333.9078125,27048.394075520835,0,0.0,0.0,0.011091823470242623,0.9238695078207481,1.0,0.0
2023-10-16,28519.466796875,28500.746384350055,0.5449099626761525,61.279424367326804,0,27391.1947265625,27113.43359375,0,0.0,0.0,0.05006744695824206,0.9701252953999006,1.0,0.0
2023-10-17,28415.748046875,28417.013131899934,-0.128980688212705,61.23873374359029,0,27435.885546875,27176.152278645834,0,0.0,0.0,-0.0036367703063566736,0.9665971725321447,1.0,-0.0
2023-10-18,28328.341796875,28329.107972096157,-0.2406809398186754,56.44494874664034,0,27475.2107421875,27228.620963541667,0,0.0,0.0,-0.0030759792019486865,0.9636239397327735,1.0,-0.0
2023-10-19,28719.806640625,28714.846138875255,-0.1510498340196556,65.85643573763016,0,27588.8236328125,27278.910611979165,0,0.0,0.0,0.013818840741083749,0.9769401054902364,1.0,0.0
2023-10-20,29682.94921875,29668.29027159479,0.2174752397466419,69.10589897951377,0,27818.0166015625,27363.9419921875,0,0.0,0.0,0.033535830870205396,1.0097026036382775,1.0,0.0
2023-10-21,29918.412109375,29909.572479176346,-0.3021869012558646,70.4905803530556,0,28122.52578125,27475.634635416667,0,0.0,0.0,0.007932597562652743,1.0177121680509027,1.0,0.0
2023-10-22,29993.896484375,29990.144416689123,-0.359099099985723,71.45048482443556,0,28446.235546875,27589.445572916666,0,0.0,0.0,0.002523007395046406,1.020279863376924,1.0,0.0
2023-10-23,33086.234375,33038.92363653074,1.092373310857223,86.48958444773884,-1,29068.621484375,27806.340364583335,-1,0.0,0.0,0.10309890521346299,1.1254696003024263,1.0,0.0
2023-10-24,33901.52734375,33883.65869729958,1.4340370861931475,89.88042739096166,-1,29772.603515625,28061.163736979168,-1,-1.0,0.0,0.02464145540134477,1.1532028092638478,1.0,-0.02464145540134477
2023-10-25,34502.8203125,34487.6357589844,0.4107927212297675,96.26110073429341,-1,30506.9203125,28334.641731770833,-1,-1.0,-0.017427357048031222,0.017736456610143003,1.173656540853051,0.9825726429519688,-0.017736456610143003
